Name,Relative lattice energy (kJ/mol),No. of hydrogen bonds, No. of hydrogen bonds per hydrogen-bond site,No. of parallel pi-pi stacking modes,Density (g/cm^3),Largest included sphere (Ang),Largest free sphere (Ang),Largest included sphere along free sphere path (Ang),Accessible surface area (m^2/g),Accessible pore volume (cm^3/g),Pore dimensionality,AffinityPropagation
100020030053207,97.4728,4,0.3333333333333333,0,1.1193,4.57462,2.95701,4.57462,0.0,0.0,0,91
100020030295953,94.7056,4,0.3333333333333333,0,1.1653,4.11765,2.95434,4.10092,0.0,0.0,0,128
100020030436652,76.70339999999999,4,0.3333333333333333,6,1.0785,4.47038,2.95425,4.47023,0.0,0.0,0,106
100020030335110,66.2284,4,0.3333333333333333,0,1.0706,4.72802,2.95194,4.72802,0.0,0.0,0,119
100020030295222,98.08189999999999,4,0.3333333333333333,0,1.1588,4.28966,2.95121,4.27371,0.0,0.0,0,108
1000200308819374,68.697,4,0.3333333333333333,3,1.2255,4.04481,2.94895,3.48275,0.0,0.0,0,134
100020030602490,88.9485,4,0.3333333333333333,0,1.1545,4.34278,2.94864,4.33038,0.0,0.0,0,113
100020030193561,90.72900000000001,4,0.3333333333333333,0,1.0669,5.38479,2.93829,5.3613,0.0,0.0,0,100
10002003018620,97.76230000000001,4,0.3333333333333333,0,1.118,5.52319,2.93778,5.52319,0.0,0.0,0,119
100020030154150,85.28380000000001,4,0.3333333333333333,6,1.2364,3.90745,2.9365,3.74827,0.0,0.0,0,131
1000200301511442,87.48849999999999,4,0.3333333333333333,1,1.2014,4.0506,2.93272,4.0506,0.0,0.0,0,131
100020030433064,79.96180000000001,4,0.3333333333333333,4,1.0703,4.19693,2.93099,4.19131,0.0,0.0,0,91
10002003148971,74.1592,4,0.3333333333333333,0,1.2246,7.69848,2.92915,7.69848,0.0,0.0,0,132
100020030052447,90.05179999999999,4,0.3333333333333333,0,0.9913,6.06407,2.92634,6.06407,0.0,0.0,0,94
100020030153081,99.77539999999999,4,0.3333333333333333,3,0.8811,7.0885,2.92379,7.01302,0.0,0.0,0,98
10002003002957,73.2707,4,0.3333333333333333,4,1.1934,4.25927,2.92144,3.48268,0.0,0.0,0,148
100020030154918,92.3263,4,0.3333333333333333,3,1.1359,4.11141,2.92138,3.83726,0.0,0.0,0,113
100020030143319,87.0694,4,0.3333333333333333,0,1.0529,5.26788,2.91896,5.25896,0.0,0.0,0,107
100020030431143,94.36689999999999,4,0.3333333333333333,4,1.0767,5.27584,2.91397,4.03433,0.0,0.0,0,106
1000200301513304,69.16890000000001,4,0.3333333333333333,3,1.1292,6.433,2.91029,6.2865,0.0,0.0,0,121
100020030601816,97.5598,4,0.3333333333333333,0,1.0661,5.84097,2.90753,5.82423,0.0,0.0,0,96
100020030141174,86.54419999999999,4,0.3333333333333333,3,1.0883,5.18106,2.9015,5.18106,0.0,0.0,0,107
100020030614248,72.40469999999999,4,0.3333333333333333,6,1.207,3.96439,2.90121,3.95123,0.0,0.0,0,131
100020030158110,98.3408,4,0.3333333333333333,0,1.0906,4.46826,2.9011,4.46248,0.0,0.0,0,106
1000200301512357,86.85079999999999,4,0.3333333333333333,4,1.2678,3.41965,2.89713,3.31858,0.0,0.0,0,146
100020030607532,94.3349,4,0.3333333333333333,4,1.0009,6.70208,2.8967,6.69467,0.0,0.0,0,116
100020030886313,75.4871,4,0.3333333333333333,3,1.2023,4.15421,2.89219,3.46533,0.0,0.0,0,128
100020030153660,92.66659999999999,4,0.3333333333333333,3,1.1903,4.86965,2.89056,4.83778,0.0,0.0,0,124
1000200314825146,76.8264,4,0.3333333333333333,4,0.9933,9.89382,2.89056,9.69966,0.0,0.0,0,129
100020030073407,87.10040000000001,4,0.3333333333333333,0,1.1434,4.27412,2.88425,4.27206,0.0,0.0,0,124
1000200308818813,98.1668,4,0.3333333333333333,1,1.0216,4.89915,2.88409,4.88762,0.0,0.0,0,100
100020030146455,95.55690000000001,4,0.3333333333333333,3,1.0846,4.81432,2.88364,4.8121,0.0,0.0,0,107
1000200306011587,70.96860000000001,4,0.3333333333333333,5,1.276,3.77856,2.88335,3.77212,0.0,0.0,0,139
100020030888153,99.2576,4,0.3333333333333333,0,0.9064,8.21434,2.87951,8.21434,0.0,0.0,0,98
100020030154881,77.54750000000001,4,0.3333333333333333,0,1.1304,5.36019,2.87943,5.36019,0.0,0.0,0,105
100020030052384,98.76140000000001,4,0.3333333333333333,0,0.8805,7.76776,2.87898,7.66627,0.0,0.0,0,98
10002003043184,87.10400000000001,4,0.3333333333333333,1,1.0478,5.50313,2.87859,5.49916,0.0,0.0,0,119
100020030153790,84.31569999999999,4,0.3333333333333333,0,1.1713,4.76939,2.8776,4.5635,0.0,0.0,0,124
1000200308810144,99.6036,4,0.3333333333333333,0,1.0507,6.09422,2.87759,5.67961,0.0,0.0,0,96
100020030151805,93.5974,4,0.3333333333333333,3,1.1337,4.85985,2.87613,4.56685,0.0,0.0,0,135
100020030602440,93.5409,4,0.3333333333333333,0,1.1097,4.8579,2.87584,4.8579,0.0,0.0,0,91
1000200301513707,92.80430000000001,4,0.3333333333333333,0,1.1416,5.67777,2.87441,5.53331,0.0,0.0,0,135
100020031487926,89.1517,4,0.3333333333333333,0,0.9589,8.95515,2.8733,8.85832,0.0,0.0,0,137
100020030157943,71.25110000000001,4,0.3333333333333333,0,1.2636,3.36837,2.8729,3.31726,0.0,0.0,0,146
100020030613574,96.57319999999999,4,0.3333333333333333,0,1.0362,4.65184,2.87244,4.64101,0.0,0.0,0,93
100020030188940,92.77279999999999,4,0.3333333333333333,4,1.0486,5.26756,2.86921,5.26756,0.0,0.0,0,99
100020030052629,98.6748,4,0.3333333333333333,0,0.9045,7.77973,2.86518,7.67028,0.0,0.0,0,104
100020030147244,83.01750000000001,4,0.3333333333333333,1,1.0296,4.90364,2.86429,4.89877,0.0,0.0,0,100
100020030144838,75.50559999999999,4,0.3333333333333333,3,1.0223,6.01863,2.86313,6.01863,0.0,0.0,0,94
1000200314830576,96.96289999999999,4,0.3333333333333333,0,1.1473,4.4244,2.86156,4.40103,0.0,0.0,0,108
100020030141410,92.16720000000001,4,0.3333333333333333,0,1.113,4.13464,2.85893,3.9009,0.0,0.0,0,124
1000200301511736,79.54409999999999,4,0.3333333333333333,3,1.1204,5.40521,2.85881,5.38456,0.0,0.0,0,121
100020030432549,82.04400000000001,4,0.3333333333333333,6,1.1142,4.27639,2.85498,4.27002,0.0,0.0,0,108
100020030882707,66.5984,4,0.3333333333333333,3,1.1638,5.84644,2.85133,4.53239,0.0,0.0,0,119
100020030138397,65.72659999999999,4,0.3333333333333333,3,1.2938,3.98391,2.84925,3.97097,0.0,0.0,0,141
100020030181256,92.9599,4,0.3333333333333333,0,0.9395,6.04763,2.84735,6.03317,0.0,0.0,0,104
1000200308820827,91.31190000000001,4,0.3333333333333333,1,1.0788,5.42176,2.84634,5.42176,0.0,0.0,0,101
100020030156494,82.2191,4,0.3333333333333333,4,1.2374,3.7102,2.84602,3.70999,0.0,0.0,0,139
100020030131463,80.4014,4,0.3333333333333333,3,1.183,5.14395,2.846,5.11616,0.0,0.0,0,138
1000200306010742,92.68360000000001,4,0.3333333333333333,3,1.1057,4.14793,2.84329,4.08167,0.0,0.0,0,108
100020030051399,71.9264,4,0.3333333333333333,4,1.1056,6.31613,2.84022,6.31613,0.0,0.0,0,121
100020030157480,89.14080000000001,4,0.3333333333333333,3,1.0135,6.87867,2.83905,6.85198,0.0,0.0,0,116
1000200301510502,88.1449,4,0.3333333333333333,0,1.2736,3.96657,2.83889,3.96657,0.0,0.0,0,118
100020030051986,98.5455,4,0.3333333333333333,0,1.1527,3.83209,2.83485,3.82018,0.0,0.0,0,145
10002003019254,78.10470000000001,4,0.3333333333333333,0,1.1089,4.32671,2.83436,4.3032,0.0,0.0,0,122
100020030133753,96.03890000000001,4,0.3333333333333333,3,1.0865,6.3882,2.83407,6.38144,0.0,0.0,0,121
100020030435899,98.684,4,0.3333333333333333,0,1.1406,4.57736,2.83151,4.53996,0.0,0.0,0,133
100020030187869,90.0687,4,0.3333333333333333,2,1.1081,5.05676,2.82771,5.05676,0.0,0.0,0,119
100020030182419,98.5523,4,0.3333333333333333,0,1.0347,4.57148,2.82665,4.32923,0.0,0.0,0,106
100020030156738,66.93100000000001,4,0.3333333333333333,5,1.1083,5.3421,2.82607,5.3421,0.0,0.0,0,107
100020030156914,96.34649999999999,4,0.3333333333333333,6,1.0899,6.14534,2.82569,6.14534,0.0,0.0,0,121
10002003014737,77.6971,4,0.3333333333333333,3,1.1421,4.79457,2.82427,4.79457,0.0,0.0,0,135
100020030143293,67.45400000000001,4,0.3333333333333333,2,1.1985,4.34084,2.82401,4.29171,0.0,0.0,0,95
100020030023530,62.70529999999999,4,0.3333333333333333,4,1.2485,3.92027,2.82296,3.86654,0.0,0.0,0,141
100020030041379,64.79660000000001,4,0.3333333333333333,0,1.1836,4.66946,2.82282,4.33591,0.0,0.0,0,124
100020030156279,91.2381,4,0.3333333333333333,0,1.1241,3.74098,2.82165,3.58197,0.0,0.0,0,125
100020030602761,99.3956,4,0.3333333333333333,3,1.2048,3.75714,2.81831,3.73269,0.0,0.0,0,131
100020030563088,87.679,4,0.3333333333333333,2,1.035,5.89212,2.81449,5.89212,0.0,0.0,0,116
100020030609329,93.7817,4,0.3333333333333333,0,1.1689,4.52558,2.81422,3.09458,0.0,0.0,0,108
100020030142739,73.03120000000001,4,0.3333333333333333,0,1.1637,4.22181,2.81399,4.21847,0.0,0.0,0,133
100020030142139,79.20259999999999,4,0.3333333333333333,0,1.1589,4.08556,2.81347,4.08556,0.0,0.0,0,134
100020030144866,96.88640000000001,4,0.3333333333333333,3,1.1273,4.28406,2.81268,3.88444,0.0,0.0,0,108
100020030093818,88.6669,4,0.3333333333333333,0,1.2391,3.46636,2.81249,3.42038,0.0,0.0,0,146
1000200301510344,97.9442,4,0.3333333333333333,0,1.0897,4.08601,2.81124,4.04565,0.0,0.0,0,108
100020030606717,74.14760000000001,4,0.3333333333333333,4,1.1873,4.67139,2.81074,4.59284,0.0,0.0,0,133
1000200308815821,84.7122,4,0.3333333333333333,0,0.9962,6.49648,2.80993,5.96466,0.0,0.0,0,116
1000200301510396,92.38640000000001,4,0.3333333333333333,1,1.1669,4.28038,2.80912,4.27664,0.0,0.0,0,108
1000200300510151,59.12960000000001,4,0.3333333333333333,4,1.2213,4.26264,2.80781,4.11144,0.0,0.0,0,128
1000200314818444,81.1594,4,0.3333333333333333,4,1.1148,6.56624,2.8071,6.56624,0.0,0.0,0,119
100020030192691,86.52170000000001,4,0.3333333333333333,0,1.2102,4.08417,2.80703,3.79701,0.0,0.0,0,113
100020030056851,84.62280000000001,4,0.3333333333333333,0,1.1887,4.39707,2.8054,4.39707,0.0,0.0,0,128
100020030131638,85.99090000000001,4,0.3333333333333333,5,1.17,5.28986,2.80312,5.23933,0.0,0.0,0,135
100020030151718,99.5829,4,0.3333333333333333,0,1.1557,4.11515,2.80277,4.09667,0.0,0.0,0,108
100020030152049,81.59450000000001,4,0.3333333333333333,3,1.009,6.41071,2.80275,6.41071,0.0,0.0,0,116
100020030141380,74.5171,4,0.3333333333333333,3,1.0981,5.15645,2.79947,5.15624,0.0,0.0,0,100
10002003061978,99.77690000000001,4,0.3333333333333333,0,1.1843,3.55755,2.79914,3.53805,0.0,0.0,0,148
100020030889155,93.99270000000001,4,0.3333333333333333,1,0.9663,8.21366,2.79839,8.15172,0.0,0.0,0,137
100020030148150,62.08000000000001,4,0.3333333333333333,0,1.199,4.0009,2.79614,3.99266,0.0,0.0,0,131
100020030153372,75.8666,4,0.3333333333333333,2,1.171,4.39167,2.79541,4.39167,0.0,0.0,0,108
100020030156813,89.03989999999999,4,0.3333333333333333,0,1.164,4.10246,2.79383,4.09675,0.0,0.0,0,128
10002003014343,71.0761,4,0.3333333333333333,0,1.1658,4.62282,2.79296,4.50787,0.0,0.0,0,133
100020030155313,76.20580000000001,4,0.3333333333333333,0,1.0423,5.14112,2.78859,5.13394,0.0,0.0,0,101
1000200301510919,74.32560000000001,4,0.3333333333333333,6,1.1355,5.41955,2.78844,5.41955,0.0,0.0,0,122
100020030887430,63.6405,4,0.3333333333333333,5,1.3138,4.16877,2.78616,4.16877,0.0,0.0,0,114
100020030139081,81.23589999999999,4,0.3333333333333333,3,1.1743,6.28101,2.78486,6.27526,0.0,0.0,0,135
100020030155635,77.66990000000001,4,0.3333333333333333,3,1.12,5.31242,2.78442,5.31242,0.0,0.0,0,135
100020030152454,68.6286,4,0.3333333333333333,5,1.1897,5.23738,2.78299,5.23036,0.0,0.0,0,135
100020030141358,58.69589999999999,4,0.3333333333333333,0,1.1818,4.01681,2.78119,3.98887,0.0,0.0,0,113
100020030613075,96.4527,4,0.3333333333333333,3,1.1895,3.54998,2.77731,3.38716,0.0,0.0,0,128
100020030142712,86.5308,4,0.3333333333333333,0,1.0261,4.3701,2.77724,4.34579,0.0,0.0,0,106
1000200308817205,74.7002,4,0.3333333333333333,3,1.1925,4.37127,2.7772,4.12815,0.0,0.0,0,108
1000200301511799,72.4093,4,0.3333333333333333,0,1.2706,4.90431,2.77595,4.90431,0.0,0.0,0,138
100020030141525,86.94210000000001,4,0.3333333333333333,0,1.0786,4.64885,2.77515,4.64829,0.0,0.0,0,106
100020030291704,91.1668,4,0.3333333333333333,0,1.1871,4.06837,2.77383,4.0587,0.0,0.0,0,128
100020030438111,99.68969999999999,4,0.3333333333333333,7,1.2666,3.90789,2.77281,3.90502,0.0,0.0,0,111
100020030147076,76.0007,4,0.3333333333333333,0,1.1371,4.35036,2.77034,4.35036,0.0,0.0,0,108
100020030022263,76.5608,4,0.3333333333333333,0,1.1269,4.19487,2.76641,4.19487,0.0,0.0,0,122
100020030884241,91.34899999999999,4,0.3333333333333333,3,1.1971,4.60176,2.76607,4.29415,0.0,0.0,0,124
100020030612072,87.2365,4,0.3333333333333333,4,1.1191,4.0455,2.76578,3.87739,0.0,0.0,0,131
100020030155154,59.9512,4,0.3333333333333333,1,1.1802,4.04053,2.76564,4.02001,0.0,0.0,0,113
100020030152328,89.97999999999999,4,0.3333333333333333,3,1.1709,4.05486,2.762,3.7938,0.0,0.0,0,134
100020030297168,74.89420000000001,4,0.3333333333333333,6,1.2021,3.90636,2.7596,3.90636,0.0,0.0,0,113
1000200301513401,82.69909999999999,4,0.3333333333333333,1,1.1427,4.84221,2.75955,4.79207,0.0,0.0,0,135
100020030058517,97.0644,4,0.3333333333333333,0,1.0735,5.40913,2.7574,5.40912,0.0,0.0,0,95
100020030567788,66.6312,4,0.3333333333333333,0,1.2093,4.71709,2.75728,3.62644,0.0,0.0,0,148
100020030884207,58.92859999999999,4,0.3333333333333333,5,1.278,5.18464,2.75603,5.01841,0.0,0.0,0,130
100020030157466,80.7448,4,0.3333333333333333,0,1.2159,3.53426,2.7555,3.50629,0.0,0.0,0,113
100020030059581,97.0044,4,0.3333333333333333,0,0.9032,7.73754,2.75394,7.73754,0.0,0.0,0,98
100020030158690,98.61250000000001,4,0.3333333333333333,0,1.052,5.54744,2.75287,5.54744,0.0,0.0,0,107
100020030887927,96.33789999999999,4,0.3333333333333333,0,1.0531,6.77807,2.75152,6.77489,0.0,0.0,0,101
100020030132743,98.14689999999999,4,0.3333333333333333,6,1.1938,4.76899,2.75037,4.26823,0.0,0.0,0,133
10002003033700,80.1704,4,0.3333333333333333,0,1.1061,4.67947,2.74946,4.67741,0.0,0.0,0,106
100020030437339,98.46709999999999,4,0.3333333333333333,6,1.0987,4.24756,2.74889,4.21504,0.0,0.0,0,108
10002003029769,99.63159999999999,4,0.3333333333333333,0,1.1178,4.37053,2.74836,4.30268,0.0,0.0,0,108
100020030336391,94.53290000000001,4,0.3333333333333333,0,1.1115,5.01454,2.7476,5.00638,0.0,0.0,0,135
1000200301512260,95.2637,4,0.3333333333333333,1,1.1062,5.61786,2.74749,5.61786,0.0,0.0,0,101
1000200308818427,87.75319999999999,4,0.3333333333333333,0,1.1523,4.9664,2.74745,4.95621,0.0,0.0,0,135
100020030432069,94.28,4,0.3333333333333333,3,1.1707,3.90408,2.7473,3.90221,0.0,0.0,0,134
100020030603234,92.1446,4,0.3333333333333333,2,1.1357,4.09682,2.74645,3.35989,0.0,0.0,0,108
100020030155889,80.1936,4,0.3333333333333333,3,1.1726,3.80885,2.74532,3.70193,0.0,0.0,0,139
1000200305610736,91.62710000000001,4,0.3333333333333333,2,1.0832,5.10466,2.74531,5.09483,0.0,0.0,0,101
1000200301511387,71.39760000000001,4,0.3333333333333333,3,1.1479,5.84956,2.74444,5.84956,0.0,0.0,0,121
100020030439058,98.52959999999999,4,0.3333333333333333,4,1.0423,6.81362,2.74419,6.80794,0.0,0.0,0,126
100020030146336,83.75540000000001,4,0.3333333333333333,0,1.029,6.50935,2.74326,6.50645,0.0,0.0,0,126
100020030143714,94.1866,4,0.3333333333333333,1,1.0654,4.52803,2.74206,4.46227,0.0,0.0,0,106
